14 декабря, ул., рус
Святомакариевская, ул., рус
Святотроицкая, ул., рус
Семиренковская, ул., рус
Сергея Амброса, ул., рус
Сергея Ефремова, ул., рус
Сержанта Волкова, ул., рус
Сержанта Жужомы, ул., рус
Сержанта Смирнова, ул., рус
Симоненко, ул., рус
Славы, ул., рус
Смаглия, ул., рус
Смелянская, ул., рус
Солнечная, ул., рус
Сосновская, ул., рус
Спиридона Кириченко, ул., рус
Старособорный, ул., рус
Старшего лейтенанта Битюцкая, ул., рус
Старшего лейтенанта Мацы, ул., рус
Стасова, ул., рус
Стрелецкий, спуск, рус
Стройиндустрии, ул., рус
Субботина, ул., рус
Сурикова, ул., рус
Танкистов, ул., рус
Тараскова, ул., рус
Татинецкая, ул., рус
Титова, ул., рус
Толстого, ул., рус
Тургенева, ул., рус
Удода, спуск, рус
Университетская, ул., рус
Химиков,просп., рус
Хоменко, ул., рус
Цветочная, ул., рус
Циолковского, ул., рус
Чайковского, ул., рус
Чехова, ул., рус
Чигиринская, ул., рус
Чиковани, ул., рус
Чумацкая, ул., рус 
Шевченко, бульвар, рус
Юрия Ильенко, ул., рус
Яблоневая, ул., рус
Якубовского, ул., рус
Ярмарочная, ул., рус
Ярослава Мудрого, ул., рус
Ярославская, ул., рус
Яцика, ул., рус
14 грудня, вул., укр
1-й Одеський, пров., укр
1 Одеський, пров., укр
2-го Українського Фронту, вул., укр
2 Українського Фронту, вул., укр
30 Років Перемоги, вул., укр
38 - ї Армії, вул., укр
38 Армії, вул., укр
40 річчя Перемоги, вул., укр
8 Березня, пров., укр
II-й Одеський, пров., укр
Абрикосова, вул., укр
Авіаційний, пров., укр
Автомобілістів, вул., укр
Айвазовського, вул., укр
Айвазовського, пров., укр
Академіка Сергія Єфремова, вул., укр
Анатолія Лупиноса, вул., укр
Анатолія Пашкевича, пров., укр
Андрія Терещенка, вул., укр
Андрія Химка, пров., укр
Андрія Яковліва, пров., укр
Архітектора Городецького, вул., укр
Архітектурний, пров., укр
Атамановського, вул., укр
Атамановського, пров., укр
Байди Вишневецького, вул., укр
Балакірева, вул., укр
Балакірева, пров., укр
Белинського, пров., укр
Берегова, вул., укр
Бидгощська, вул., укр
Бігуча, вул., укр
Білоцерківський, узвіз, укр
Благовісна, вул., укр
Богдана Хмельницького, вул., укр
Богдана Хмельницького, пров., укр
Богданівський, пров., укр
Богомольця, пров., укр
Богуна, пров., укр
Бориса Захарченка, вул., укр
Бородіна, вул., укр
Братів Савченків, вул., укр
Братів Чучупаків, вул., укр
Братів Чучупаків, пров., укр
Братів Яхненків, пров., укр
Будівельний, пров., укр
Будіндустрії, вул., укр
Василини, вул., укр
Василицька, вул., укр
Вербовецького, вул., укр
Вергунівський, пров., укр
Вернигори, вул., укр
Верхня Горова, вул., укр
Весела, вул., укр
Весняний, пров., укр
Вишнева, вул., укр
Вишневий, пров., укр
Віктора Бабанського, вул., укр
Віталія Вергая, вул., укр
Водопарковий, пров., укр
Волкова сержанта, вул., укр
Волкова, вул., укр
Волкова, пров., укр
Володимира Ложешнікова, вул., укр
В'ячеслава Галви, вул., укр
В'ячеслава Чорновола, вул., укр
Гагаріна, вул., укр
Гайдамацький, пров., укр
Галини Буркацької, вул., укр
Гастелло, пров., укр
Гвардійська, вул., укр
Гвардійський, пров., укр
Генерала Коротєєва, вул., укр
Генерала Момота, вул., укр
Генерала Путейка, вул., укр
Генерала Рибалка, вул., укр
Героїв Дніпра, вул., укр
Героїв Майдану, вул., укр
Героїв Чорнобиля, вул., укр
Геронімівська, вул., укр
Гетьмана Косинського, вул., укр
Гетьмана Сагайдачного, вул., укр
Глібова, вул., укр
Глінки, вул., укр
Гоголя, вул., укр
Горіхова, вул., укр
Горовий, пров., укр
Грецький, узвіз, укр
