Давида Ойстраха, ул., рус
Дальневосточная, ул., рус
Дальницкая, ул., рус
Дальницкое , шоссе, рус
Дальняя, ул., рус
Даниила Крыжановского, пер., рус
Данилина, ул., рус
Дарвина, сквер, рус
Дача Дашкевича , ул., рус
Дача Ковалевского, ул., рус
Дачная, ул., рус
Дачный, пер., рус
Дворянская, ул., рус
Деволановская, ул., рус
Деволановский, спуск, рус
Дегтярная, ул., рус
Деда Трофима, ул., рус
Дежнева, ул., рус
Декабристов, ул., рус
Демократическая, ул., рус
Демьянова, ул., рус
Депутатский, пер., рус
Деревообделочная, ул., рус
Деревообделочный, пер., рус
Державина, пер., рус
Державина, ул., рус
Дерибасовская, ул., рус
Дерибасовский, сквер, рус
Десантный , бульвар, рус
Десметовская, ул., рус
Джутовый, пер., рус
Дзержинского, бульвар, рус
Дзержинского, пл., рус
Дзержинского, ул., рус
Дидрихсона, ул., рус
Димитрова, просп., рус
Дмитрия Донского, ул., рус
Дмитрия Ульянова, пер., рус
Дмитрова, ул., рус
Днепровская, ул., рус
Днепропетровская, дорога, рус
Днепропетровская, ул., рус
Днестровская, ул., рус
Добровольского, просп., рус
Добролюбова, ул., рус
Довженко, ул., рус
Доковая, ул., рус
Долгая, ул., рус
Долинская, ул., рус
Донецкая, ул., рус
Донская, ул., рус
Доронина, ул., рус
Дорстроя, пер., рус
Достоевского, пер., рус
Достоевского, ул., рус
Драгутинский, пер., рус
Дружный, пер., рус
Дубовая, ул., рус
Дубовая роща, ул., рус
Думская, пл., рус
Дунаева, пер., рус
Дунаевского, пер., рус
Дунаевского, ул., рус
Дунайская, ул., рус
Дунайский, пер., рус
Дундича, ул., рус
Дурьянский, пер., рус
Дюковская, пл., рус
Дюковская, ул., рус
Дюковский, пер., рус
Евангелическая, ул., рус
Евангелический, пер., рус
Евдокимовская, ул., рус
Еврейская, ул., рус
Егорова, пер., рус
Екатерининская, пл., рус
Екатерининская, ул., рус
Елизаветградский, пер., рус
Елисаветинская, ул., рус
Елисаветинский, пер., рус
Елисаветская, ул., рус
Елохина, пер., рус
елочная, ул., рус
Енисейская, ул., рус
Ермака, пер., рус
Ермакова, пер., рус
Ефима Фесенко, ул., рус
Ефимова, ул., рус
Жаботинского, ул., рус
Жанны Лябурб, пер., рус
Жанны Лябурб, спуск, рус
Жанны Лябурб, ул., рус
Жасминная, ул., рус
Жванецкого , бульвар, рус
Жевахова гора, ул., рус
Жеваховский, пер., рус
Железнодорожная, ул., рус
Железнякова, ул., рус
Желябова, ул., рус
Житкова, ул., рус
Житомирская, ул., рус
Житомирский, пер., рус
Жовтневый, пер., рус
Жолио-Кюри, ул., рус
Жукова, пер., рус
Жуковского, ул., рус
Заветный, пер., рус
Заводская, ул., рус
Заводский, пер., рус
Загородный, пер., рус
Заднепровского, ул., рус
Зайцева, ул., рус
Закарпатская, ул., рус
Заливной, пер., рус
Занделовский, пер., рус
Заньковецкой, ул., рус
Западный, пер., рус
Запорожская, ул., рус
Заречная, ул., рус
Заславского, ул., рус
Затонского, ул., рус
Звездная, ул., рус
Звонкая, ул., рус
Зеленая, ул., рус
Зеленый, пер., рус
Зеленый, просп., рус
Зелинского, ул., рус
Землячки, ул., рус
Земская, ул., рус
Зерновая, ул., рус
Зиновьева, ул., рус
Злаковая, ул., рус
Змиенко Всеволода, пер., рус
Зои Космодемьянской, пер., рус
Зои Космодемьянской, ул., рус
Золотаревского? Золотарева?, ул., рус
Золотой берег, ул., рус
Зоопарковая, ул., рус
Зоринская, ул., рус
Зубовская, ул., рус
Ивана Загубанского, ул., рус
Ивана и Юрия Липы, ул., рус
Ивана Франко, пер., рус
Ивана Франко, ул., рус
Иванова, ул., рус
