1- й Староруднянський, пров., укр
Брасюка, проїзд, укр
Броховського, проїзд, укр
Бугайченка, вул., укр
Будинки офіцерського складу, вул., укр
Будівельна, вул., укр
Будівельний, пров., укр
Бялика, вул., укр
Василя Кука, пров., укр
Василя Максютова, вул., укр
Василя Стуса, пров., укр
Вацківський, пров., укр
Вацлава Длоуги, вул., укр
Векслера, вул., укр
Велика Бердичівська, вул., укр
Вересівський, шлях, укр
Вересковий, проїзд, укр
Веселий, пров., укр
Взуттєвий, пров., укр
Виговського, вул., укр
Видумка, вул., укр
Визволення, пл., укр
Виноградний, пров., укр
Виробничий, пров., укр
Вільський, шлях, укр
Вінницька, вул., укр
Вітрука, вул., укр
Водопровідний, пров., укр
Вокзальна, вул., укр
Вокзальний, пров., укр
Володимира Менчиця, пров., укр
Володимира Плотницького, проїзд, укр
Володимира Сосюри, пров., укр
Володимирська, вул., укр
Волонтерів, пров., укр
Волошковий, пров., укр
Вороничів, вул., укр
Всеволода Петріва генерала, вул., укр
Вузький, проїзд, укр
В'ячеслава Липинського, вул., укр
В'ячеслава Малі, вул., укр
Г.Сковороди, вул., укр
Гагаріна, вул., укр
Галанчикової, пров., укр
Галевий, пров., укр
Галицький, проїзд, укр
Героїв Базару, вул., укр
Героїв Десантників, вул., укр
Героїв Крут, вул., укр
Героїв Пожежників, вул., укр
Героїв Пожежних, вул., укр
Героїв Чернобиля, вул., укр
Гоголівська, вул., укр
Гомельський, пров., укр
Гончарна, вул., укр
Городній, пров., укр
Гранітна, вул., укр
Грибний, проїзд, укр
Грищука професора, пров., укр
Грушевського, вул., укр
Гуйвинський, пров., укр
Давидова, вул., укр
Давидовського, пров., укр
Дачна, вул., укр
Дашкевича, вул., укр
Денишівська, вул., укр
Деревообробний, пров., укр
Джерельний, пров., укр
Дмитра Донцова, вул., укр
Дмитрівська, вул., укр
Добровольчих батальйонів, вул., укр
Довженка, вул., укр
Домбровського, вул., укр
Дружби, вул., укр
Друкарський, пров., укр
Евелини Ганської, пров., укр
Екологічна, вул., укр
Енергетична, вул., укр
Енергетичний, пров., укр
Євгена Коновальця, вул., укр
Євгена Рихліка, пров., укр
Живичний, пров., укр
Житній базар, вул., укр
Житній ринок, майдан, укр
Жовтневий, пров., укр
Жоржиновий, проїзд, укр
Жуйка, вул., укр
Жуковського Генерала, пров., укр
Заводська, вул., укр
Закам'янська, вул., укр
Закам'янський, пров., укр
Замкова, вул., укр
Замковий, майдан, укр
Зарембського, майдан, укр
Зарічна, вул., укр
Затишний, пров., укр
Затишний, проїзд, укр
Західна, вул., укр
Звягільська, вул., укр
Зв'язківців, вул., укр
Згоди, майдан, укр
Зелена, вул., укр
Зелений Бір, пров., укр
Зенітний, пров., укр
Зенітний, проїзд, укр
Зручний, проїзд, укр
Івана Багряного, пров., укр
Івана Гонти, вул., укр
Івана Гонти, пров., укр
Івана Кочерги, вул., укр
Івана Мазепи, вул., укр
Івана Садовського, пров., укр
Івана Сірка, вул., укр
Івана Сльоти, вул., укр
Івана Франка, вул., укр
Індрустріальний, проїзд, укр
Індустріальна, вул., укр
Інститутський, проїзд, укр
Іподромна, вул., укр
Іршанський, проїзд, укр
Кавалерійський, пров., укр
Кам'яний, узвіз, укр
Кам'янний, спуск, укр
Кам'янська, вул., укр
Каракульна, вул., укр
Каретний, пров., укр
Кароля Гейнча, проїзд, укр
Карпенка-Карого, пров., укр
Кафедральна, вул., укр
Каховська, вул., укр
Квітковий, пров., укр
Київська, вул., укр
Київське, шосе, укр
Кириченка Художника, пров., укр
Кібальчича, вул., укр
Кільцевий, пров., укр
Клима Поліщука, вул., укр
Клосовського, вул., укр
Кмитівський, проїзд, укр
Княгині Ольги, вул., укр
Князів Острозьких, вул., укр
Ковальський, проїзд, укр
Козацька, вул., укр
Козубського, пров., укр
Козятинська, вул., укр
Комерційна, вул., укр
Комерційний, пров., укр
Кондратюка, вул., укр
Кооперативна, вул., укр
Корабельна, вул., укр
Корбутівський, пров., укр
Корецький, пров., укр
Короленка, вул., укр
Короленка, пл., укр
Корольова, вул., укр
Корольова, пл., укр
Коростенська, вул., укр
Коростишівська, вул., укр
Косачів, пров., укр
Космонавта Поповича, пров., укр
Космонавтів, вул., укр
Котельникова, пров., укр
Котляревського, вул., укр
Котовського, вул., укр
Коцюбинського, вул., укр
Крайній, пров., укр
Крашевського, проїзд, укр
Кривий Брід, вул., укр
Кривий Брід, проїзд, укр
Крилова, пров., укр
Кримська, вул., укр
Крошенська, вул., укр
Крошенська, набережна, укр
Крошенський житловий масив, вул., укр
Крутеня льотчика, пров., укр
Крутий, пров., укр
Кудрицького, пров., укр
Кузнечний, пров., укр
Культурний, пров., укр
Купальна, вул., укр
Левківський, пров., укр
Лейтенанта Огурцова, вул., укр
Леоніда Ступницького, пров., укр
Лермонтова, вул., укр
Лесі Українки, вул., укр
Леха Качинського, вул., укр
Липського, вул., укр
Лисенка, вул., укр
Лівобережна річки Кам'янки, вул., укр
Лікарський, пров., укр
Лісова, вул., укр
Лугинський, пров., укр
Лугова, вул., укр
Луговий, пров., укр
Лук'яненка, вул., укр
Луцька, вул., укр
Луцький, пров., укр
Любарська, вул., укр
Люби Шевцової, вул., укр
Лятошинського, вул., укр
Льва Нікуліна, пров., укр
Льва Толстого, вул., укр
Львівська, вул., укр
Львівський, пров., укр
Магазинна, вул., укр
Максима Залізняка, пров., укр
Мала Бердичівська, вул., укр
Малий, пров., укр
Малинова, вул., укр
Малинська, вул., укр
Мальованська, набережна, укр
Мальованський, пров., укр
Мальовничий, пров., укр
Марії Заньковецької, пров., укр
Мар'янівська, вул., укр
Меблевий, пров., укр
Медовий, пров., укр
Металістів, вул., укр
Метерологічна, вул., укр
Метерологічний, проїзд, укр
Метрополита Андрія Шептицького, вул., укр
Миклухо-Маклая, вул., укр
Миколи Величківського, пров., укр
Миколи Капустянського, пров., укр
Миколи Леонтовича, вул., укр
Миколи Леонтовича, пров., укр
Миколи Сціборського, вул., укр
Миколи Чечеля, пров., укр
Миру, вул., укр
Миру, просп., укр
Мистецькі Ворота, вул., укр
Митрополита Андрія Шептицького, вул., укр
Михайла Вербицького, пров., укр
Михайла Клименка, пров., укр
Михайла Старицького, пров., укр
Михайловоградська, вул., укр
Мічуріна, пров., укр
Млинова, вул., укр
Млиновий, пров., укр
Молодіжний, пров., укр
Монолітний, пров., укр
Монтана, вул., укр
Музичний, пров., укр
Набережна, вул., укр
Набережний, пров., укр
Нагорний, пров., укр
Народицька, вул., укр
Нафтовий, пров., укр
Небесної сотні, вул., укр
Незалежності, просп., укр
Немирича, вул., укр
Нобелівська, вул., укр
Нова, вул., укр
Новий, пров., укр
Новогоголівська, вул., укр
Новогончарний, пров., укр
Новопівнічна, вул., укр
Новосінна, вул., укр
Овочевий, пров., укр
Овруцька, вул., укр
Огієнка, вул., укр
Ожиновий, пров., укр
Оздоровчий, пров., укр
Озерна, вул., укр
Олександра Олеся, вул., укр
Олени Левчанівської, пров., укр
Олени Пчілки, вул., укр
Олени Теліги, вул., укр
Олеся Гончара, вул., укр
Ольжича, вул., укр
Оранжерейний, пров., укр
Осокоровий, пров., укр
Острозький, пров., укр
Отаманів Соколовських, вул., укр
Офіцерська, вул., укр
Охотського, пров., укр
Охрімова Гора, вул., укр
Павла Кольченка, пров., укр
Павла Тетері, вул., укр
Павла Чубинського, пров., укр
Павликівський, пров., укр
Павлова Гора, вул., укр
Паволоцький, пров., укр
Панаса Мирного, вул., укр
Панаса Саксаганського, пров., укр
Паперовий, пров., укр
Парашутний, пров., укр
Паркова, вул., укр
Парковий, пров., укр
Партизанська, вул., укр
Перемоги, вул., укр
Перемоги, пл., укр
Перехідна, вул., укр
Перехідний, пров., укр
Петра Болбочана, пров., укр
Петра Калнишевського, вул., укр
Пивоварний, пров., укр
Пилипа Орлика, вул., укр
Південна, вул., укр
Північна, вул., укр
Північний, пров., укр
Під скелями, набережна, укр
Під'їздна, вул., укр
Піщана, вул., укр
Піщаний, пров., укр
Подільська, вул., укр
Подільський, пров., укр
Покровська, вул., укр
Покровський, пров., укр
Поліська, вул., укр
Поліський, проїзд, укр
Політехнічний, пров., укр
Польова, пл., укр
Польський, бульв., укр
Попова, пров., укр
Правобережна річки Кам'янки, вул., укр
Привітна, вул., укр
Привокзальна, вул., укр
Привокзальна, пл., укр
Прикордонний, пров., укр
Провіантський, пров., укр
Промислова, вул., укр
Прорізний, пров., укр
Професора Арциховського, проїзд, укр
Професора Кравченка, вул., укр
Прохідний, пров., укр
Прудкий, пров., укр
Путятинська, пл., укр
Путятинський, пров., укр
Пушкінcька, вул., укр
Пушкінська, вул., укр
Рад, пл., укр
Радивилівська, вул., укр
Радищева, вул., укр
Радищева, пров., укр
Радомишльський, пров., укр
Рилєєва, пров., укр
Рильського, вул., укр
Рівненський, пров., укр
Рівний, пров., укр
Річний, пров., укр
Родини Гамченків, вул., укр
Родонова, вул., укр
Романа Шухевича, вул., укр
Російська Слобідка, вул., укр
Руданська, вул., укр
Садибний, пров., укр
Садова, алея, укр
Садова, вул., укр
Садовий, пров., укр
Саєнка, вул., укр
Саєнка, пров., укр
Самойловича, вул., укр
Санаторна, вул., укр
Світинська, вул., укр
Свободи, вул., укр
Свободи, пров., укр
Свободи, проїзд, укр
Святого Зигмунта Фелінського, пров., укр
Святого Йоана Павла ІІ, вул., укр
Святослава Ріхтера, вул., укр
Священника Жилюка, пров., укр
Северина Наливайка, вул., укр
Северини Наливайка, вул., укр
Селецька, вул., укр
Селецький, пров., укр
Семена Палія, вул., укр
Семенівський, пров., укр
Сергія Кулжинського, пров., укр
Сергія Остапенка, пров., укр
Сергія Параджанова, вул., укр
Середній, пров., укр
Симона Петлюри, вул., укр
Синельниківська, вул., укр
Сільськогосподарський, пров., укр
Сільськогосподарський, проїзд, укр
Скельний, пров., укр
Скіфський, пров., укр
Склянського, пров., укр
Скорульського, пров., укр
Скульптора Вітрика, пров., укр
Скульптора Олішкевича, вул., укр
Слобідська, вул., укр
Слуцького, вул., укр
Смоківська, вул., укр
Смолянська, пл., укр
Смолянський, пров., укр
Соборна, вул., укр
Соборний, майдан, укр
Соломії Крушельницької, пров., укр
Сонячний, пров., укр
Соняшниковий, пров., укр
Соснова, вул., укр
Сотника Савінського, пров., укр
Спортивний, пров., укр
Ставровський, пров., укр
Ставровський, проїзд, укр
Стадіонна, вул., укр
Станишівський, майдан, укр
Старий, бульв., укр
Старовільська, вул., укр
Старогончарна, вул., укр
Старочуднівська, вул., укр
Стельмаха, вул., укр
Степана Бандери, вул., укр
Стрімкий, узвіз, укр
Студентський, пров., укр
Сурина Гора, вул., укр
Сухий Яр, вул., укр
Східна, вул., укр
Східний, пров., укр
Табірний, пров., укр
Тайберів, пров., укр
Тараса Бульби-Боровця, вул., укр
Тараса Сенюка, пров., укр
Тарнавського, вул., укр
Театральна, вул., укр
Телефонний, пров., укр
Теплична, вул., укр
Тихий, пров., укр
Тихий, проїзд, укр
Тополина, вул., укр
Транспортна, вул., укр
Трипільська, вул., укр
Троковицький, пров., укр
Троянівська, вул., укр
Троянівський, пров., укр
Труда, вул., укр
Туркенича, пров., укр
Тутковського, проїзд, укр
Тютюновий, пров., укр
Уласа Самчука, пров., укр
Урожайний, пров., укр
