1905-го года, ул., рус
Григория Чуркина, ул., рус
Грозненский, пер., рус
Грузинский, пер., рус
Грушевый, пер., рус
Давида Гурамишвили, пер., рус
Даниила Галицкого, ул., рус
Дарвина, тупик, рус
Декабристов, пер., рус
Делегатский, пер., рус
Демидюка Дмитрия, ул., рус
Деповская, ул., рус
Дербукова, ул., рус
Динамовский, пер., рус
Дмитрия Темкина, пер., рус
Дмитрия Шостаковича, пер., рус
Днепровская, ул., рус
Днепровский, пер., рус
Добролюбова, пер., рус
Довженко, ул., рус
Докучаева, ул., рус
Дорожный, пер., рус
Дорошенко, ул., рус
Дружбы, пер., рус
Дружинницкая, ул., рус
Европейская, ул., рус
Егорова, ул., рус
Елены Пчилки, ул., рус
Есенина, пер., рус
Железнодорожная, ул., рус
Железнодорожный, пер., рус
Заводская, ул., рус
Загородная, ул., рус
Запорожская, ул., рус
Заречная, ул., рус
Защитный, пер., рус
Звеньевой, пер., рус
Зерновой, проезд, рус
Зинаиди Тулуб, ул., рус
Зои Космодемьянской, ул., рус
Ивана Кожедуба, пер., рус
Ивана Мазепы, ул., рус
Ивана Миколайчука, ул., рус
Ивана Приходько, ул., рус
Ивана Франко, ул., рус
Ивана Чернобабы, ул., рус
Игоря Сердюка, ул., рус
Изобретателей Быковых, пер., рус
Изюмова Андрея, проезд, рус
Индустриальная, ул., рус
Индустриальный, пер., рус
Интернациональный, пер., рус
Кагамлыцкий, пер., рус
Казачий, пер., рус
Калиновый, пер., рус
Каневский, тупик, рус
Кармелюка, пер., рус
Карпенко-Карого, ул., рус
Карьерный, пер., рус
Киевская, ул., рус
Кленовый, пер., рус
Княгини Ольги, ул., рус
Кобзарская, ул., рус
Кондратюка, ул., рус
Константина Острожского, ул., рус
Кооперативная, ул., рус
Космический, пер., рус
Котляревского, ул., рус
Кохновская, ул., рус
Коцюбинского, ул., рус
Красная Горка, ул., рус
Кременецкий, тупик, рус
Кремневый, пер., рус
Криворудная, ул., рус
Кривушанская, ул., рус
Кропивницкого, пер., рус
Кубанская, ул., рус
Кузнечная, ул., рус
Кузнечный, тупик, рус
Кузьмы Деревянко, пер., рус
Лебединая, ул., рус
Лебединый, проезд, рус
Левитана, ул., рус
Лейтенанта Днепрова , наб., рус
Лейтенанта Покладова, ул., рус
Лейтенанта Шмидта, ул., рус
Лермонтова, ул., рус
Лесной, пер., рус
Лизы Чайкиной, ул., рус
Линейная, ул., рус
Литейная, ул., рус
Литературный, пер., рус
Локомотивная, ул., рус
Лубенский, пер., рус
Луговая, ул., рус
Луговой, проезд, рус
Лысенко, пер., рус
Льва Толстого, пер., рус
Майора Борищака, ул., рус
Максима Рыльского, пер., рус
Марины Расковой, пер., рус
Марка Вовчка, ул., рус
Мартовский, пер., рус
Маруси Чурай, пер., рус
Маршала Говорова, ул., рус
Маршала Рокоссовского, пер., рус
Матросова, ул., рус
Маяковского, пер., рус
Медовый, пер., рус
Менделеева, ул., рус
Мечникова, ул., рус
Миргородский, пер., рус
Мирный, пер., рус
Михаила Старицкого, проезд, рус
Михайловская, ул., рус
Михайловский, пер., рус
Мичурина, ул., рус
Млечный Путь, ул., рус
Можайского, пер., рус
Молодёжная, ул., рус
Молодогвардейцев, ул., рус
Московская, ул., рус
Нагорная, ул., рус
Насосная, ул., рус
Насосный, пер., рус
Небесной Сотни, ул., рус
Недогарская, ул., рус
Недогарский, пер., рус
Некрасова, ул., рус
Нечуя-Левицкого, тупик, рус
Нижневартовская, ул., рус
Нижняя, ул., рус
Николаевская, ул., рус
Николая Кучмы, ул., рус
Николая Михновского, ул., рус
Новая, ул., рус
Новгородская, ул., рус
Новороссийская, ул., рус
Новосёловская, ул., рус
Одесская, ул., рус
Одесский, пер., рус
Озёрная, ул., рус
Оксаны Петрусенко, ул., рус
Олега Кошевого, ул., рус
Олеся Гончара, ул., рус
Ополченцев, пер., рус
Орешниковая, ул., рус
Остапа Вишни, ул., рус
Охотничий, проезд, рус
Павла Чубинского, ул., рус
Павлова, ул., рус
Панаса Мирного, ул., рус
Парижской Коммуны, ул., рус
Партизанская, ул., рус
Паторжинского, пер., рус
Патриса Лумумбы, ул., рус
Первомайская, ул., рус
Передовой, пер., рус
Песчаная, ул., рус
Песчаный, пер., рус
Петра Калнышевского, ул., рус
Петровский, проезд, рус
Петруся Якова, пер., рус
Пилотов, пер., рус
Платухина, ул., рус
Плеханова, ул., рус
Победы, ул., рус
Подгорная, ул., рус
Полины Осипенко, тупик, рус
Полтавский,проспект, рус
Попова, ул., рус
Почтовый, пер., рус
Правды, пер., рус
Правобережная, ул., рус
Правобережный, пер., рус
Приозерный, проезд, рус
Промышленный, пер., рус
Прорезной, пер., рус
Проточный, тупик, рус
Профсоюзная, ул., рус
Пугачева Вадима, ул., рус
Пушкина,бульвар, рус
Рабочий, пер., рус
Разина, тупик, рус
Размислова, ул., рус
Ракетная, ул., рус
Ракитина, пер., рус
Расковой, пер., рус
Революционеров, ул., рус
Редутная, ул., рус
Редутный, пер., рус
Репина, ул., рус
Республиканская, ул., рус
Рихарда Зорге, ул., рус
Ровенский, пер., рус
Рождественская, ул., рус
Рокитнянская, ул., рус
Ромодановская, ул., рус
Ростовская, ул., рус
Рудничная, ул., рус
Рылеева, пер., рус
Рыльского, пер., рус
Садковская, ул., рус
Садковский, тупик, рус
Садовая, ул., рус
