8-го Марта, пер., рус
Жукова, вул., укр
Заболотного, вул., укр
Заводська, вул., укр
Залізнична, вул., укр
Зантуська, вул., укр
Зарванська, вул., укр
Зарічна, вул., укр
Затонського, вул., укр
Збарського, вул., укр
Зелена, вул., укр
Зіньковецька, вул., укр
Івана Франка, вул., укр
Індустріальна, вул., укр
Інтернаціональна, вул., укр
Іоанна Предтечі, вул., укр
Каліжська, вул., укр
Каліська, вул., укр
Каманіна, вул., укр
Кам'янчанина, вул., укр
Карвасари, вул., укр
Кириленко, вул., укр
Кіргізова, вул., укр
Князів Коріатовичів, вул., укр
Козицького, вул., укр
Комарова, вул., укр
Короленка, вул., укр
Короленко, вул., укр
Королєнка, вул., укр
Космонавтів, вул., укр
Котовського, вул., укр
Коцюбинського (Смірновий), вул., укр
Кренкеля, вул., укр
Кривоноса, вул., укр
Криленко, вул., укр
Крип'якевича, вул., укр
Кузнєчна, вул., укр
Куйбишева, вул., укр
Кулика, вул., укр
Ладигіна, вул., укр
Леонтовича, вул., укр
Лермонтова, вул., укр
Лесі Українки, вул., укр
Лисенка, вул., укр
Ляпідєвського, вул., укр
Мазепи, вул., укр
Майдан Козацький, вул., укр
Максимчука, вул., укр
Манксимчука, вул., укр
Марка Вовчка, вул., укр
Маршала Харченка, вул., укр
Матросова, вул., укр
Миру, вул., укр
Мічуріна, вул., укр
Мічурінська, вул., укр
Молодіжна, вул., укр
Набережна, вул., укр
Нагорна, вул., укр
Некрасова, вул., укр
Об'їздна, вул., укр
Огієнка, вул., укр
Огієнко, вул., укр
Олександра Невського, вул., укр
Онуфріївська, вул., укр
Павлова, вул., укр
Панаса Мирного, вул., укр
Панівецька, вул., укр
Панфілова, вул., укр
Папаніна, вул., укр
Пархоменка, вул., укр
Першотравнева, вул., укр
Петропавлівська, вул., укр
Південна, вул., укр
Північна, вул., укр
Поворіна, вул., укр
Польова, вул., укр
Польський ринок, вул., укр
Понтонна, вул., укр
Попова, вул., укр
Посохова, вул., укр
Праці, вул., укр
Привокзальна, вул., укр
Проектна, вул., укр
Прорізна, вул., укр
Пушкінська, вул., укр
П'ятницька, вул., укр
Річна, вул., укр
Розвадовського, вул., укр
Руданського, вул., укр
Руська, вул., укр
Руський ринок, вул., укр
Сагайдачного, вул., укр
Садова, вул., укр
Саксаганського, вул., укр
Свідніцького, вул., укр
Середня, вул., укр
Сірка, вул., укр
Сіцінського, вул., укр
Слєпньова, вул., укр
Смірнова, вул., укр
Смотрицька, вул., укр
Соборна, вул., укр
Соснова, вул., укр
Спартака, вул., укр
Старицького, вул., укр
Старобульварна, вул., укр
Степанова, вул., укр
Суворова, вул., укр
Сугерова, вул., укр
Татарська, вул., укр
Тімірязєва, вул., укр
Торгова, вул., укр
Тринітарська, вул., укр
Троїцька, вул., укр
Укмергеська, вул., укр
Уральська, вул., укр
Успенська, вул., укр
Фабріціуса, вул., укр
Франка, вул., укр
Францисканська, вул., укр
Фрунзе, вул., укр
