1 Мая, ул., рус
Свободы, пл., рус
Святых Кирилла и Мефодия просп., рус
Севастопольская, ул., рус
Северная 11, ул., рус
Северная 12, ул., рус
Северная 13, ул., рус
Северная 14, ул., рус
Северная, ул., рус
Северный, пер., рус
Седова, пер., рус
Селянская, ул., рус
Сенявина пр., рус
Серафимовича, ул., рус
Серова, ул., рус
Сечевых Стрельцов, ул., рус
Сибирский, пер., рус
Сивашская, ул., рус
Сивашский, пер., рус
Сикалко, ул., рус
Силикатный
Сквозной 1, пер., рус
Сквозной 2, пер., рус
Сквозной, пер., рус
Слободка 1, ул., рус
Слободка 2, ул., рус
Слободский, пер., рус
Смоленский, пер., рус
Смольная, ул., рус
Соборная, ул., рус
Советская, ул., рус
Советский / Зеленая, ул., рус
Советский / Парниковая, ул., рус
Советской Армии, ул., рус
Совхозный 2, пер., рус
Соколиная, ул., рус
Солдатский, пер., рус
Солнечный, пер., рус
Сорокина, ул., рус
Спартаковский, пер., рус
Спортивная, ул., рус
Спортивная, ул., рус
Спортивный, пер., рус
Сретенская, ул., рус
Ст., рус русндизз, ул., рус
Стадионная, ул., рус
Стадионная, ул., рус
Станиславского, пер., рус
Стапельная, ул., рус
Старообрядницкая, ул., рус
Старостина, ул., рус
Стеблиевская, ул., рус
Стеклотарная 2, ул., рус
Стеклотарный, пер., рус
Степана Разина, пер., рус
Степана Разина, ул., рус
Степная, ул., рус
Степной, пер., рус
Стрелецкий, пер., рус
Строителей пр., рус
Строителей просп., рус
Строителей, пер., рус
Строителей, ул., рус
Строительный, пер., рус
Студенческий, пер., рус
Субботы, ул., рус
Суворова, ул., рус
Судостроительная 1, ул., рус
Судостроительная 2, ул., рус
Судостроительная 3, ул., рус
Сумская, ул., рус
Сурикова, ул., рус
Сухарная, ул., рус
Таврический Пр-Зд
Таврический, пер., рус
Таманский, пер., рус
Танкерный, пер., рус
Танкистов, ул., рус
Тарана, ул., рус
Тарле, ул., рус
Театральная, ул., рус
Текстильная 1, ул., рус
Текстильная 10, ул., рус
Текстильная 11, ул., рус
Текстильная 12, ул., рус
Текстильная 13, ул., рус
Текстильная 14, ул., рус
Текстильная 15, ул., рус
Текстильная 16, ул., рус
Текстильная 17, ул., рус
Текстильная 18, ул., рус
Текстильная 19, ул., рус
Текстильная 2, ул., рус
Текстильная 20, ул., рус
Текстильная 21, ул., рус
Текстильная 22, ул., рус
Текстильная 3, ул., рус
Текстильная 4, ул., рус
Текстильная 5, ул., рус
Текстильная 6, ул., рус
Текстильная 7, ул., рус
Текстильная 8, ул., рус
Текстильная 9, ул., рус
Текстильщиков пр., рус
Текстильщиков просп., рус
Тельмана, ул., рус
Тепличная, ул., рус
Терешковой, ул., рус
Тесленко 1, ул., рус
Тесленко 2, ул., рус
Тесленко 3, ул., рус
Тесленко 4, ул., рус
Тесленко, ул., рус
Тимирязева, ул., рус
Тираспольская, ул., рус
Титова, ул., рус
Тихая, ул., рус
Толстого Л., рус, пер., рус
Толстого Л., рус, ул., рус
Торговая, ул., рус
Торговый, пер., рус
Торкальная, ул., рус
Торпедный, пер., рус
Тракторная, ул., рус
Трипольский, пер., рус
Тупиковый, пер., рус
Тургенева, ул., рус
Тютюнова, ул., рус
тягинская, ул., рус
Уварова, ул., рус
Узкая, ул., рус
Узкий, пер., рус
Украинская, ул., рус
Украинский, пер., рус
Ульянова Д., рус, ул., рус
Уманский, пер., рус
Университетская, ул., рус
Урицкого, ул., рус
Урожайная, ул., рус
Успенского Пр-Зд
Успенского, пер., рус
Успенского, ул., рус
Учебный, пер., рус
Ушакова пр., рус
Ушакова просп., рус
Фабричная, ул., рус
Феодосийский, пер., рус
Фестивальная, ул., рус
Филатова, ул., рус
Филиппа Орлика, ул., рус
Финансистов, ул., рус
Фонвизина, ул., рус
Фонтанная, ул., рус
Фортус, ул., рус
Форштадтская, ул., рус
Франко И., рус, ул., рус
Фритаун, ул., рус
Фрунзе, ул., рус
Фурманова, ул., рус
Херсонская, ул., рус
Херсонский, пер., рус
Хетагурова К., рус, ул., рус
Хлопковый, пер., рус
Хмельницкого Б., рус, ул., рус
Хрустальная, ул., рус
Центр
Центральная, ул., рус
Церковная, ул., рус
Цеткин К., рус, ул., рус
Циолковского, ул., рус
Цюрупинская 1, ул., рус
Цюрупинская 2, ул., рус
Цюрупинская 3, ул., рус
Цюрупинская 4, ул., рус
Цюрупинская, ул., рус
Цюрупинский 1, пер., рус
Цюрупинский, пер., рус
Чайки Д., рус, ул., рус
Чайковского, ул., рус
Чапаева, ул., рус
Чапаевский, пер., рус
Чаривная, ул., рус
Чекистов, ул., рус
Черкасский, пер., рус
Чернобаевка
Черноморская 2, ул., рус
Черноморская, ул., рус
Черноморский спуск
Чернышевского, ул., рус
Чернявского, ул., рус
Чехова, пер., рус
Чкалова
Чкалова, пер., рус
Чкалова, ул., рус
Шахтерская, ул., рус
Шевченко, пер., рус
Шевченко, ул., рус
Шенгелия, ул., рус
Шишкина, пер., рус
Шишкина, ул., рус
Школьная, ул., рус
Школьный, пер., рус
Шмидта, пер., рус
Шмидта, ул., рус
Шовкуненко, ул., рус
Шолом-Алейхема, ул., рус
Штурвальная, ул., рус
Штурвальный, пер., рус
Шумского, ул., рус
Щепкина Пр-Зд
Щепкина, пер., рус
Щепкина, ул., рус
Щорса, пер., рус
Щорса, ул., рус
Экономичный, пер., рус
Энгельса, ул., рус
Юбилейная, ул., рус
Южная, ул., рус
Южный, пер., рус
Яблочный, пер., рус
Яворницкого, ул., рус
Ягодный, пер., рус
Якорный, пер., рус
Янтарный, пер., рус
Ярослава Мудрого, ул., рус
1 Архипа Тесленка, вул., укр
1 Верьовчина, вул., укр
1 Віноградна, вул., укр
1- Микільський, пров., укр
1 Польова, вул., укр
1 Промислова, вул., укр
1 Рибна, вул., укр
1 Східна, вул., укр
1 Текстильна, вул., укр
1 ша Олешківська, вул., укр
1 ша Придніпровська, вул., укр
1 ша Суднобудівна, вул., укр
10 Східна, вул., укр
10 та Західна, вул., укр
10 Текстильна, вул., укр
11 Північна, вул., укр
11 Східна, вул., укр
11 Текстильна, вул., укр
12 Північна, вул., укр
12 Східна, вул., укр
12 Текстильна, вул., укр
13 Північна, вул., укр
13 Східна, вул., укр
13 Текстильна, вул., укр
14 Північна, вул., укр
14 Східна, вул., укр
14 Текстильна, вул., укр
15 Східна, вул., укр
15 Текстильна, вул., укр
16 Східна, вул., укр
16 Текстильна, вул., укр
17 Східна, вул., укр
17 Текстильна, вул., укр
18 Східна, вул., укр
18 Текстильна, вул., укр
187 км, вул., укр
19 Східна, вул., укр
19 Текстильна, вул., укр
1-й Арктичний, пров., укр
1-й Бугський, пров., укр
1-й Запорозький, пров., укр
1-й Парковий, пров., укр
1-й Флотський, пров., укр
1-ша Західна, вул., укр
1-ша Слободка, вул., укр
2 Арктичний, вул., укр
2 Архипа Тесленка, вул., укр
2 Бугський, пров., укр
2 Верьовчина, вул., укр
2 Віноградна, вул., укр
2 га Придніпровська, вул., укр
2- га Слободка, вул., укр
2 га Суднобудівна, вул., укр
2 Західна, вул., укр
2 й Запорозький, вул., укр
2 й Придніпровський, пров., укр
2 Микільський, пров., укр
2 Польова, вул., укр
2 Промислова, вул., укр
2 Рибна, вул., укр
2 Склотарна, вул., укр
2 Східна, вул., укр
2 Текстильна, вул., укр
2 Черноморська, вул., укр
20 Східна, вул., укр
20 Текстильна, вул., укр
200 років Херсону, просп., укр
21 Східна, вул., укр
21 Текстильна, вул., укр
22 Східна, вул., укр
22 Текстильна, вул., укр
23 Східна, вул., укр
24 Східна, вул., укр
25 Східна, вул., укр
26 Східна, вул., укр
27 Східна, вул., укр
28 Армії, вул., укр
28 Східна, вул., укр
29 Східна, вул., укр
295 Стрелкової дивізії, вул., укр
295 Стрілкової дивізії, вул., укр
2-га Олешківська, вул., укр
2-й Зелений, пров., укр
2-й Матроський, пров., укр
2-й Селянський, пров., укр
2-й Флотський, вул., укр
2-й Флотський, пров., укр
3 Архипа Тесленка, вул., укр
3 Веревчина, вул., укр
3 Віноградна, вул., укр
3 Микільський, пров., укр
3 Олешківська, вул., укр
3 Польова, вул., укр
3 Східна, вул., укр
3 Текстильна, вул., укр
3 тя Рибна, вул., укр
3 тя Суднобдівна, вул., укр
3 я Западна, вул., укр
3 я Олешківська, вул., укр
3 я Придніпровська, вул., укр
30 Східна, вул., укр
31 Східна, вул., укр
32 Східна, вул., укр
33 Східна, вул., укр
34 Східна, вул., укр
3-й Флотський, вул., укр
4 Архипа Тесленка, вул., укр
4 Верьовчина, вул., укр
4 Віноградна, вул., укр
4 Микільський, пров., укр
4 Польова, вул., укр
4 Східна, вул., укр
4 та Западна, вул., укр
4 Текстильна, вул., укр
49 Гвардійської Дивізії, вул., укр
4-а Лиманчик, лінія
4-й Приміський, пров., укр
4та Олешківська, вул., укр
5 Верьовчина, вул., укр
5 Польова, вул., укр
5 Східна, вул., укр
5 та Западна, вул., укр
5 Текстильна, вул., укр
